"","date","lat","lon","SuburbName","SuburbID","TownCity","cityID","RegionName","RegionID","windspeed.kmhr","medianTemp.degC","sunshine.hrs"
"167","20180616:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,4,8.4,NA
"168","20180617:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,4.3,9.2,NA
"169","20180618:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,3.2,1.7,NA
"170","20180619:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,1.1,3.55,NA
"171","20180620:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,1.4,3.8,NA
"172","20180621:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,1.1,4.05,NA
"173","20180622:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,0,1.4,NA
"174","20180623:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,3.2,2.7,NA
"175","20180624:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,19.8,5.7,NA
"176","20180625:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,5.4,5.55,NA
"177","20180626:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,2.5,1.9,NA
"178","20180627:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,4,3.35,NA
"179","20180628:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,2.5,4.55,NA
"180","20180629:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,3.6,3.4,NA
"181","20180630:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,3.2,2.75,NA
"182","20180701:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,3.6,6.65,NA
"183","20180702:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,3.6,3.75,NA
"184","20180703:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,1.4,5.3,NA
"185","20180704:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,0,4.35,NA
"186","20180705:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,1.4,0.8,NA
"187","20180706:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,5,6.4,NA
"188","20180707:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,17.6,8.6,NA
"189","20180708:0000",-42.53433,172.85098,"Hanmer Springs",498,"Hanmer Springs",100031,"Canterbury",1010,3.2,6.4,NA
