"Suburb","2018_Suburb_Population","2019_Suburb_Population","2020_Suburb_Population","2021_Suburb_Population","Number_of_Crime_Records_Sep2016_to_Aug2021","Number_of_Victims_Sep2016_to_Aug2021","Number_of_Crime_Types_Sep2016_to_Aug2021","Num_of_Crimes_per_1000_People","Num_of_Crime_Victims_per_1000_People"
"Hornby South",4640,4660,4710,4660,902,947,5,191.507430997877,201.061571125265
"Hornby West",2590,2600,2610,2590,NA,NA,NA,NA,NA
"Huntsbury",2320,2360,2380,2400,NA,NA,NA,NA,NA
"Ilam North",3900,3940,3950,3910,NA,NA,NA,NA,NA
"Ilam South",3390,3390,3400,3350,NA,NA,NA,NA,NA
"Ilam University",2670,2650,2640,2550,NA,NA,NA,NA,NA
"Inland water Lake Ellesmere/Te Waihora North",0,0,0,0,NA,NA,NA,NA,NA
"Inland water Lake Ellesmere/Te Waihora South",0,0,0,0,NA,NA,NA,NA,NA
"Inland water Lake Ohau",0,0,0,0,NA,NA,NA,NA,NA
"Inland water Lake Pukaki",0,0,0,0,NA,NA,NA,NA,NA
"Inland water Lake Tekapo",0,0,0,0,NA,NA,NA,NA,NA
"Inlet Akaroa Harbour",0,0,0,0,NA,NA,NA,NA,NA
"Inlet Port Lyttelton",0,0,0,0,NA,NA,NA,NA,NA
"Inlet Port Timaru",0,0,0,0,NA,NA,NA,NA,NA
"Inlets other Christchurch city",0,0,0,0,NA,NA,NA,NA,NA
"Irwell",1320,1320,1370,1350,NA,NA,NA,NA,NA
"Islington",1010,1020,1040,1030,775,832,5,745.192307692308,800
"Islington-Hornby Industrial",360,340,340,340,NA,NA,NA,NA,NA
"Jellie Park",3140,3130,3140,3080,610,638,6,194.267515923567,203.184713375796
"Kaiapoi Central",2220,2240,2260,2250,NA,NA,NA,NA,NA
"Kaiapoi East",280,270,270,270,98,100,3,362.962962962963,370.37037037037
"Kaiapoi North West",2140,2140,2180,2180,393,410,5,180.275229357798,188.073394495413
"Kaiapoi South",1880,1900,1920,1940,694,715,5,361.458333333333,372.395833333333
"Kaiapoi West",1280,1270,1290,1280,102,108,5,79.0697674418605,83.7209302325581
"Kaikoura",2300,2340,2410,2420,NA,NA,NA,NA,NA
