Ealing-Lowcliffe,1030,1070,1230,1450,1630,1670,1720,1720
Eiffelton,1510,1590,1870,2330,2570,2600,2660,2690
Chertsey,1280,1290,1460,1670,1690,1680,1740,1760
Winchmore-Wakanui,1140,1210,1320,1490,1600,1620,1650,1680
Allenton North,1800,1750,1930,2260,2630,2630,2660,2680
Allenton South,1870,1870,1900,2130,2210,2190,2240,2240
Rakaia,900,970,1090,1310,1480,1500,1530,1560
Ashburton North,730,840,970,1040,1070,1080,1090,1080
Allenton East,1700,1830,1980,2190,2180,2180,2220,2210
Tinwald North,870,930,1030,1110,1210,1250,1280,1310
Ashburton Central,260,180,170,160,150,150,160,160
Ashburton West,940,940,930,950,970,960,990,1020
Tinwald South,1870,1940,2020,2260,2420,2430,2450,2410
Ashburton East,1520,1450,1560,1750,1810,1840,1860,1860
Netherby,1590,1490,1530,1910,2210,2260,2320,2380
Hampstead,2480,2380,2540,2860,3020,3050,3100,3120
Ben McLeod,170,130,110,170,140,140,150,160
Arundel,1030,1030,1150,1350,1430,1450,1470,1490
Levels Valley,960,920,970,1050,1070,1080,1090,1100
Geraldine,2330,2310,2390,2470,2750,2770,2780,2800
Rangitata,1150,1140,1310,1550,1690,1700,1710,1750
Waitohi (Timaru district),1570,1590,1620,1820,1810,1810,1820,1850
Pleasant Point,1270,1200,1220,1340,1430,1450,1460,1480
Temuka West,2020,2040,2090,2080,2220,2220,2240,2260
Hadlow,920,1030,1230,1310,1470,1490,1500,1510
Levels,1060,1000,1150,1180,1250,1260,1270,1290
Temuka East,2210,2210,2240,2320,2380,2390,2410,2410
Gleniti North,890,1000,1110,1260,1520,1540,1590,1590
Washdyke,1120,1040,1070,980,1050,1080,1110,1140
Fairview,1580,1570,1620,1630,1670,1690,1720,1730
Gleniti South,1910,2020,2150,2360,2480,2470,2500,2510
Glenwood,1760,1730,1690,1810,1850,1850,1860,1850
Marchwiel West,1490,1510,1520,1520,1580,1590,1610,1610
Marchwiel East,1880,1850,1800,1860,2030,2050,2060,2040
Highfield North,2400,2360,2300,2290,2390,2370,2340,2340
Highfield South,1210,1230,1310,1250,1290,1300,1320,1310
Waimataitai-Maori Hill,2070,2040,1930,1970,2100,2120,2140,2120
Fraser Park,2840,2720,2740,2780,2840,2830,2840,2830
Seaview,2230,2130,2230,2100,2170,2190,2230,2250
Inlet Port Timaru,160,110,0,0,0,0,0,0
Watlington,2370,2310,2300,2370,2320,2320,2320,2300
Timaru Central,470,440,430,440,430,430,440,430
Timaru East,390,350,310,270,310,310,310,320
Parkside,2430,2320,2350,2450,2450,2470,2470,2460
Kensington (Timaru district),1580,1520,1480,1460,1510,1520,1530,1540
Mackenzie Lakes,850,780,800,920,1250,1360,1460,1440
Inland water Lake Pukaki,0,0,0,0,0,0,0,0
Inland water Lake Tekapo,0,0,0,0,0,0,0,0
Twizel,1220,1040,1070,1190,1530,1600,1660,1660
Opua (Mackenzie district),1100,1100,1130,1310,1410,1410,1410,1440
Fairlie,1000,870,890,890,920,910,920,940
Hakataramea,840,760,750,790,870,890,900,910
Maungati,810,710,690,760,770,770,780,770
Lyalldale,610,580,600,660,710,720,720,730
Makikihi-Willowbridge,1000,980,1010,1030,1050,1050,1100,1100
Waimate North,530,490,460,520,520,520,530,530
Morven-Glenavy-Ikawai,980,910,970,1180,1140,1150,1160,1170
Waimate West,1410,1320,1370,1300,1380,1390,1390,1390
Waimate East,1600,1490,1540,1570,1670,1680,1670,1690
Aviemore,930,720,680,740,800,860,890,920
Inland water Lake Ohau,0,0,10,0,0,0,0,0
Danseys Pass,990,880,880,950,1010,1030,1040,1040
Oceanic Canterbury region,0,0,0,10,0,0,0,0
Motunau Island,0,0,0,0,0,0,0,0
